indexes,name,nameEng,image,price,size,sizePrice,type,color,isBest,isNew,isRecommendation,group
011,콜드 브루 오트 라떼,Cold Brew with Oat Milk,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9200000003285%5D_20210416154437226.jpg,5800,"Grande, Tall, Venti","5800,6300,6800",ICED ONLY,1B3C35,false,false,false,콜드 브루
012,돌체 콜드 브루,Dolce Cold Brew,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9200000002081%5D_20210415133657016.jpg,6000,"Grande, Tall, Venti","6000,6500,7000",ICED ONLY,1B3C35,false,false,false,콜드 브루
013,바닐라 크림 콜드 브루,Vanilla Cream Cold Brew,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9200000000487%5D_20210430112319174.jpg,5800,"Grande, Tall, Venti","5800,6300,6800",ICED ONLY,1B3C35,true,false,false,콜드 브루
014,콜드 브루,Cold Brew,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9200000000038%5D_20210430113202595.jpg,4900,"Grande, Tall, Venti","4900,5400,5900",ICED ONLY,1B3C35,true,false,false,콜드 브루
015,나이트로 바닐라 크림,Nitro Vanilla Cream,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9200000002487%5D_20210426091745609.jpg,6100,"Grande, Short, Tall","5600,6100,6600",ICED ONLY,1B3C35,false,false,false,콜드 브루
016,나이트로 콜드 브루,Nitro Cold Brew,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9200000000479%5D_20210426091844065.jpg,6000,"Grande, Short, Tall","5500,6000,6500",ICED ONLY,1B3C35,false,false,false,콜드 브루
017,제주 비자림 콜드 브루,Jeju Forest Cold Brew,https://image.istarbucks.co.kr/upload/store/skuimg/2022/03/%5B9200000002672%5D_20220311105512013.jpg,6800,Grande,6800,ICED ONLY,1B3C35,false,false,false,콜드 브루
018,시그니처 더 블랙 콜드 브루,Signature The Lback Cold Brew,https://image.istarbucks.co.kr/upload/store/skuimg/2021/08/%5B9200000003661%5D_20210819094346334.jpg,19600,,19600,ICED ONLY,1B3C35,false,false,false,콜드 브루
009,딸기 아사이 레모네이스 스타벅스 리프레셔,Strawberry Acai with Lemonade Starbucks Refreshers,https://image.istarbucks.co.kr/upload/store/skuimg/2022/08/%5B9200000003763%5D_20220803131322900.jpg,5900,"Grande, Tall, Venti","5900,6400,6900",ICED ONLY,1B3C35,true,false,false,리프레셔
010,핑크 드링크 위드 딸기 아사이 스타벅스 리프레셔,Pink Drink with Strawberry Acai Starbucks Refreshers,https://image.istarbucks.co.kr/upload/store/skuimg/2022/08/%5B9200000003766%5D_20220803130958263.jpg,5900,"Grande, Tall, Venti","5900,6400,6900",ICED ONLY,1B3C35,false,false,false,리프레셔
"001,002",블론드 바닐라 더블 샷 마키아또,Blonde Vanilla Double Shot Macchiato,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9200000002950%5D_20210426150654889.jpg,5900,"Grande, Tall, Venti","5900,6400,6900",HOT & ICED,1B3C35,false,false,false,블론드
"002,004",스타벅스 돌체 라떼,Starbucks Dolce Latte,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B128692%5D_20210426091933798.jpg,5900,"Grande, Short, Tall, Venti","5400,5900,6400,6900",HOT & ICED,1B3C35,false,false,false,블론드
"005,006",카페 라떼,Caffe Latte,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B41%5D_20210415133833879.jpg,5000,"Grande, Short, Tall, Venti","4500,5000,5500,6000",HOT & ICED,1B3C35,false,false,false,블론드
"007,008",카페 아메리카노,Caffe Americano,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B94%5D_20210430103337157.jpg,4500,"Grande, Short, Tall, Venti","4000,4500,5000,5500",HOT & ICED,1B3C35,true,false,false,블론드