indexes,name,nameEng,image,price,size,sizePrice,type,color,isBest,isNew,isRecommendation,group,orderGroup
011,콜드 브루 오트 라떼,Cold Brew with Oat Milk,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9200000003285%5D_20210416154437226.jpg,5800,"Grande, Tall, Venti","5800,6300,6800",ICED ONLY,1B3C35,false,false,false,콜드 브루,drink
012,돌체 콜드 브루,Dolce Cold Brew,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9200000002081%5D_20210415133657016.jpg,6000,"Grande, Tall, Venti","6000,6500,7000",ICED ONLY,1B3C35,false,false,false,콜드 브루,drink
013,바닐라 크림 콜드 브루,Vanilla Cream Cold Brew,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9200000000487%5D_20210430112319174.jpg,5800,"Grande, Tall, Venti","5800,6300,6800",ICED ONLY,1B3C35,true,false,false,콜드 브루,drink
014,콜드 브루,Cold Brew,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9200000000038%5D_20210430113202595.jpg,4900,"Grande, Tall, Venti","4900,5400,5900",ICED ONLY,1B3C35,true,false,false,콜드 브루,drink
015,나이트로 바닐라 크림,Nitro Vanilla Cream,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9200000002487%5D_20210426091745609.jpg,6100,"Grande, Short, Tall","5600,6100,6600",ICED ONLY,1B3C35,false,false,false,콜드 브루,drink
016,나이트로 콜드 브루,Nitro Cold Brew,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9200000000479%5D_20210426091844065.jpg,6000,"Grande, Short, Tall","5500,6000,6500",ICED ONLY,1B3C35,false,false,false,콜드 브루,drink
017,제주 비자림 콜드 브루,Jeju Forest Cold Brew,https://image.istarbucks.co.kr/upload/store/skuimg/2022/03/%5B9200000002672%5D_20220311105512013.jpg,6800,Grande,6800,ICED ONLY,1B3C35,false,false,false,콜드 브루,drink
009,딸기 아사이 레모네이스 스타벅스 리프레셔,Strawberry Acai with Lemonade Starbucks Refreshers,https://image.istarbucks.co.kr/upload/store/skuimg/2022/08/%5B9200000003763%5D_20220803131322900.jpg,5900,"Grande, Tall, Venti","5900,6400,6900",ICED ONLY,1B3C35,true,false,false,리프레셔,drink
010,핑크 드링크 위드 딸기 아사이 스타벅스 리프레셔,Pink Drink with Strawberry Acai Starbucks Refreshers,https://image.istarbucks.co.kr/upload/store/skuimg/2022/08/%5B9200000003766%5D_20220803130958263.jpg,5900,"Grande, Tall, Venti","5900,6400,6900",ICED ONLY,1B3C35,false,false,false,리프레셔,drink
"001,002",블론드 바닐라 더블 샷 마키아또,Blonde Vanilla Double Shot Macchiato,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9200000002950%5D_20210426150654889.jpg,5900,"Grande, Tall, Venti","5900,6400,6900",HOT & ICED,1B3C35,false,false,false,블론드,drink
"002,004",스타벅스 돌체 라떼,Starbucks Dolce Latte,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B128692%5D_20210426091933798.jpg,5900,"Grande, Short, Tall, Venti","5400,5900,6400,6900",HOT & ICED,1B3C35,false,false,false,블론드,drink
"005,006",카페 라떼,Caffe Latte,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B41%5D_20210415133833879.jpg,5000,"Grande, Short, Tall, Venti","4500,5000,5500,6000",HOT & ICED,1B3C35,false,false,false,블론드,drink
"007,008",카페 아메리카노,Caffe Americano,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B94%5D_20210430103337157.jpg,4500,"Grande, Short, Tall, Venti","4000,4500,5000,5500",HOT & ICED,1B3C35,true,false,false,블론드,drink
"019,020",블랙 글레이즈드 라떼,Black Glazed Latte,https://image.istarbucks.co.kr/upload/store/skuimg/2022/10/%5B9200000002259%5D_20221007082850170.jpg,6300,"Grande, Tall, Venti","6300,6800,7300",HOT & ICED,FF9400,false,false,false,에소프레소,drink
021,바닐라 플랫 화이트,Vanilla Flat White,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9200000002406%5D_20210415135507881.jpg,5900,"Short, Tall","5400,5900",HOT ONLY,1B3C35,false,false,false,에소프레소,drink
"022,023",스타벅스 돌체 라떼,Starbucks Dolce Latte,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B128692%5D_20210426091933798.jpg,5900,"Grande, Short, Tall, Venti","5400,5900,6400,6900",HOT & ICED,1B3C35,false,false,false,에소프레소,drink
"024,025",카페 모카,Caffe Mocha,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B46%5D_20210415134438311.jpg,5500,"Grande, Short, Tall, Venti","5000,5500,6000,6500",HOT & ICED,1B3C35,false,false,false,에소프레소,drink
"007,008",카페 아메리카노,Caffe Americano,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B94%5D_20210430103337157.jpg,4500,"Grande, Short, Tall, Venti","4000,4500,5000,5500",HOT & ICED,1B3C35,false,false,false,에소프레소,drink
"005,006",카페 라떼,Caffe Latte,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B41%5D_20210415133833879.jpg,5000,"Grande, Short, Tall, Venti","4500,5000,5500,6000",HOT & ICED,1B3C35,false,false,false,에소프레소,drink
"026,027",카푸치노,Cappuccino,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B38%5D_20210415154821991.jpg,5000,"Grande, Short, Tall, Venti","4500,5000,5500,6000",HOT & ICED,1B3C35,false,false,false,에소프레소,drink
"028,029",카라멜 마키아또,Caramel Macchiato,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B126197%5D_20210415154610012.jpg,5900,"Grande, Short, Tall, Venti","5400,5900,6400,6900",HOT & ICED,1B3C35,false,false,false,에소프레소,drink
"030,031",화이트 초콜릿 모카,White Chocolate Mocha,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B128192%5D_20210415155639276.jpg,5900,"Grande, Short, Tall, Venti","5400,5900,6400,6900",HOT & ICED,1B3C35,false,false,false,에소프레소,drink
018,에스프레소,Espresso,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B20%5D_20210415144112850.jpg,4000,"Solo, Doppio","4000,4500",HOT ONLY,1B3C35,false,false,false,에소프레소,drink
032,에스프레소 마키아또,Espresso Macchiato,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B25%5D_20210415144211354.jpg,4000,"Solo, Doppio","4000,4500",HOT ONLY,1B3C35,false,false,false,에소프레소,drink
033,에스프레소 콘 파나,Espresso Con Panna,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B30%5D_20210415144252425.jpg,4200,"Solo, Doppio","4200,4700",HOT ONLY,1B3C35,false,false,false,에소프레소,drink
"034,035",제주 사려니 쑥길 라떼,Jeju Forest Mugwort Latte,https://image.istarbucks.co.kr/upload/store/skuimg/2022/09/%5B9200000004291%5D_20220906081405267.jpg,7200,Grande,4700,HOT & ICED,1B3C35,false,false,false,에소프레소,drink